brand,model,transmission,age,fuel,engine,km,owner,price,location,mileage,power,seats,type
mahindra,thar,manual,4,diesel,2184,11003,1,1231000,,,,,
hyundai,verna,manual,6,petrol,1591,66936,1,786000,,,,,
tata,harrier,manual,2,diesel,1956,27990,1,1489000,,,,,
honda,city,automatic,1,petrol,1498,5061,1,1227000,,,,,
ford,ecosport,manual,3,diesel,1498,23480,1,887000,,,,,
honda,wr-v,manual,3,petrol,1199,44787,1,796000,,,,,
tata,punch,manual,2,petrol,1199,450,1,813000,,,,,
tata,nexon,automatic,4,diesel,,59866,1,728000,,,,,
mahindra,xuv700,automatic,2,diesel,2184,62567,1,2322000,,,,,
ford,ecosport,automatic,5,petrol,1497,58503,1,766000,,,,,
maruti,dzire,manual,6,petrol,1197,58159,1,471000,,,,,
hyundai,grand,manual,1,petrol,1197,15568,1,689000,,,,,
tata,tiago,manual,1,petrol,1199,6676,1,536000,,,,,
hyundai,creta,manual,6,petrol,,59085,1,823000,,,,,
maruti,alto,manual,6,petrol,998,52966,1,310000,,,,,
hyundai,verna,manual,4,diesel,1582,60592,1,993000,,,,,
maruti,alto,automatic,10,petrol,998,71297,1,265000,,,,,
honda,amaze,manual,2,petrol,1199,15935,1,699000,,,,,
kia,seltos,manual,3,diesel,1493,71040,1,980000,,,,,
hyundai,grand,manual,1,petrol,1197,2850,1,710000,,,,,
mg,hector,automatic,2,petrol,1451,26999,1,1652000,,,,,
tata,tigor,manual,1,petrol,1199,12096,1,590000,,,,,
honda,city,automatic,7,petrol,1497,65434,2,787000,,,,,
hyundai,verna,manual,4,diesel,1493,48995,1,1060000,,,,,
ford,freestyle,manual,6,petrol,1194,66584,1,495000,,,,,
maruti,ciaz,manual,4,petrol,1462,24961,1,878000,,,,,
maruti,dzire,manual,5,petrol,1197,33972,1,514000,,,,,
tata,tiago,manual,2,cng,1199,22874,1,684000,,,,,
maruti,dzire,manual,5,petrol,1197,109938,1,584000,,,,,
maruti,alto,manual,5,petrol,796,60452,1,316000,,,,,
maruti,celerio,automatic,8,petrol,998,32747,1,394000,,,,,
kia,carens,automatic,2,diesel,1493,34694,1,1654000,,,,,
maruti,ignis,manual,5,petrol,1197,51244,1,472000,,,,,
renault,triber,manual,1,petrol,999,6843,1,636000,,,,,
ford,ecosport,automatic,5,petrol,1496,20751,1,806000,,,,,
tata,punch,automatic,1,petrol,1199,16393,1,668000,,,,,
